Year,Vulnerability Type,Count,Severity,CVSS Score,Exploitability Score,Affected Devices,Impact
2021,Insecure Direct Object Reference,6,Medium,7.7,0.94,API,Unauthorized access  System control
2021,Misconfiguration    Security Headers,30,Critical,5.6,0.63,Database,Privilege escalation   Denial    Service
2021,XML External Entity (XXE),28,Medium,9.1,0.82,Storage,Remote code execution
2023,Server  Side Request Forgery,20,High,9.4,0.64,Switch,Privilege escalation   Denial    Service
2021,Buffer Overflow,40,High,7.5,0.72,API,Detection delay   Long  term impact
2021,Race Condition,21,Low,4.9,0.98,Router,Detection delay   Long  term impact
2023,Buffer Overflow,1,Low,10.0,0.58,Server,Unauthorized access   Data loss
2021,Comm  Injection,41,Medium,4.2,0.92,IoT Devices,Unauthorized access   System control
2021,Insecure Direct Object Reference,38,High,7.0,0.83,Database,Sensitive data leak
2022,Race Condition,28,Critical,4.6,0.85,IoT Devices,Privilege escalation   Denial    Service
2023,XML External Entity (XXE),25,High,6.1,0.6,Web Application,Sensitive data leak
2021,Cross  Site Request Forgery,14,Low,6.0,0.54,Cameras,Data exposure
2023,Cross  Site Scripting,26,Medium,5.5,0.84,Router,Privilege escalation   Denial    Service
2021,XML External Entity (XXE),14,High,5.2,0.58,Server,Remote code execution
2021,Remote File Inclusion,24,Medium,9.0,0.95,Cameras,Unauthorized access   Data loss
2021,Cross  Site Request Forgery,43,Critical,8.7,0.71,API,Privilege escalation   Denial    Service
2021,Cross  Site Scripting,21,High,6.1,0.99,Cameras,Session hijacking
2022,Server  Side Request Forgery,35,Low,6.6,0.52,Firmware,Data theft   Remote code execution
2021,Improper Input Validation,43,Low,8.3,0.53,Server,Data exposure
2023,Comm  Injection,22,Medium,9.1,0.89,API,System takeover   Privilege escalation
2023,Race Condition,33,High,8.4,0.85,Storage,Session hijacking
2023,Remote File Inclusion,13,Low,8.6,0.86,Switch,Session hijacking
2022,Insufficient Logging   Monitoring,9,Medium,8.5,0.85,Router,Remote code execution
2021,Cross  Site Request Forgery,14,Critical,8.9,0.55,Database,Unauthorized access   Data loss
2022,Misconfiguration    Security Headers,48,Low,6.2,0.92,Cameras,Unauthorized access   Data loss
2023,Weak Cryptography,3,Critical,5.4,0.94,IoT Devices,Unauthorized access   Data loss
2023,Information Disclosure,41,Medium,8.9,0.72,Database,Unauthorized access   Data loss
2022,Directory Traversal,42,Critical,8.3,0.51,Router,System takeover   Privilege escalation
2021,Insufficient Logging   Monitoring,16,Low,5.4,0.82,Storage,System takeover   Privilege escalation
2021,Misconfiguration    Security Headers,45,Low,9.5,0.6,API,Data exposure
2023,Insufficient Logging   Monitoring,10,Low,5.7,0.84,Cameras,Sensitive data leak
2022,Cross  Site Request Forgery,47,Medium,8.6,0.75,Web Application,Detection delay   Long  term impact
2021,Cross  Site Request Forgery,31,Low,6.5,0.58,IoT Devices,Session hijacking
2022,Remote File Inclusion,8,Critical,5.7,0.88,Database,Unauthorized access   System control
2023,Insufficient Logging   Monitoring,48,Medium,8.6,0.83,Switch,Detection delay   Long  term impact
2022,Insecure Direct Object Reference,24,Critical,9.8,0.69,Web Application,Remote code execution
2023,Privilege Escalation,44,Medium,9.2,0.94,Web Application,System takeover   Privilege escalation
2022,XML External Entity (XXE),49,High,7.0,0.52,Storage,Detection delay   Long  term impact
2021,Remote File Inclusion,12,Critical,5.3,0.71,Firmware,Session hijacking
2023,Insecure Deserialization,50,Medium,8.6,0.91,Database,Data exposure
2022,Cross  Site Scripting,45,High,5.2,0.84,Workstation,Privilege escalation   Denial    Service
2023,Misconfiguration    Security Headers,3,Low,8.3,0.58,IoT Devices,Data exposure
2022,Improper Input Validation,10,Medium,7.6,0.97,Database,Data exposure
2022,Path Traversal,19,Critical,6.8,0.88,API,Session hijacking
2022,Information Disclosure,49,Low,5.6,0.93,Router,Data theft   Remote code execution
2023,XML External Entity (XXE),31,High,6.2,0.84,Firmware,Session hijacking
2023,Misconfiguration    Security Headers,11,Low,5.1,0.81,Cameras,Sensitive data leak
2022,Path Traversal,34,Critical,9.0,0.67,Server,Privilege escalation   Denial    Service
2021,Insufficient Logging   Monitoring,11,High,5.7,0.87,Server,Remote code execution
2022,Improper Input Validation,6,Low,9.2,0.77,Database,Detection delay   Long  term impact
2021,Path Traversal,48,Critical,7.2,0.62,Web Application,Data theft   Remote code execution
2022,Authentication Bypass,19,Critical,6.9,0.75,IoT Devices,Data theft   Remote code execution
2022,Privilege Escalation,1,High,9.8,0.57,Cameras,Data exposure
2022,Cross  Site Scripting,23,Critical,7.7,0.73,Workstation,Data exposure
2023,Misconfiguration    Security Headers,17,Critical,4.5,0.8,Storage,Sensitive data leak
2021,Privilege Escalation,42,Critical,8.9,0.87,Router,Detection delay   Long  term impact
2021,Path Traversal,33,High,7.5,0.99,Server,Detection delay   Long  term impact
2022,Race Condition,36,Medium,5.3,0.59,Cameras,Privilege escalation   Denial    Service
2022,Cross  Site Scripting,5,Low,7.2,0.74,Database,Detection delay   Long  term impact
2021,Improper Input Validation,23,Medium,9.0,0.64,API,Detection delay   Long  term impact
2022,Authentication Bypass,42,Low,5.8,0.71,Router,Data exposure
2023,XML External Entity (XXE),42,Critical,8.0,0.94,Storage,Data exposure
2023,Directory Traversal,31,High,8.9,0.54,Server,Sensitive data leak
2023,Privilege Escalation,32,Medium,9.4,0.74,Database,Unauthorized access   System control
2021,Privilege Escalation,41,Critical,4.3,0.72,Switch,Remote code execution
2023,Cross  Site Scripting,49,Critical,4.4,0.65,API,Session hijacking
2023,SQL Injection,15,Medium,6.0,0.64,Server,Unauthorized access   Data loss
2021,SQL Injection,31,Low,8.7,0.84,Cameras,Remote code execution
2023,Improper Input Validation,29,Critical,5.6,0.63,Storage,Sensitive data leak
2021,Cross  Site Request Forgery,44,Medium,6.7,0.96,Database,Privilege escalation   Denial    Service
2021,Cross  Site Request Forgery,36,Low,7.6,0.54,Server,Unauthorized access   System control
2021,Privilege Escalation,13,Critical,6.6,0.92,Storage,Detection delay   Long  term impact
2022,Comm  Injection,46,High,6.0,0.51,Router,Detection delay   Long  term impact
2023,Directory Traversal,49,Critical,7.0,0.9,Storage,Unauthorized access   System control
2023,Server  Side Request Forgery,13,High,4.2,0.81,Firmware,Remote code execution
2022,Buffer Overflow,37,High,8.4,0.81,Router,Sensitive data leak
2022,Misconfiguration    Security Headers,46,High,5.3,0.93,Switch,Unauthorized access   System control
2021,Path Traversal,45,Low,8.2,0.91,Storage,Unauthorized access   System control
2021,Directory Traversal,36,High,6.2,0.59,Workstation,Data exposure
2023,Comm  Injection,28,Critical,9.4,0.8,Web Application,System takeover   Privilege escalation
2021,Race Condition,12,Medium,6.6,0.66,Database,Data theft   Remote code execution
2021,Information Disclosure,16,High,5.0,0.83,Server,Unauthorized access   Data loss
2023,Cross  Site Request Forgery,19,High,9.1,0.64,Database,Unauthorized access   Data loss
2021,Race Condition,35,Critical,8.0,0.5,Switch,Privilege escalation   Denial    Service
2023,Insecure Deserialization,7,Critical,5.5,0.62,Workstation,Data exposure
2023,Race Condition,23,Low,7.4,0.69,Firmware,System takeover   Privilege escalation
2023,Weak Cryptography,49,Medium,8.9,0.58,Cameras,Detection delay   Long  term impact
2021,Cross  Site Request Forgery,35,Low,7.4,0.8,Database,Remote code execution
2023,Remote File Inclusion,38,High,7.9,0.71,Storage,Data theft   Remote code execution
2021,Misconfiguration    Security Headers,23,High,9.5,0.54,IoT Devices,Unauthorized access   Data loss
2022,Authentication Bypass,17,Critical,9.6,0.64,IoT Devices,Sensitive data leak
2023,Path Traversal,26,High,5.4,0.89,Server,Data exposure
2022,Race Condition,41,Medium,4.3,0.96,Database,Data exposure
2021,Misconfiguration    Security Headers,4,Low,5.8,0.73,API,Unauthorized access   Data loss
2021,Insecure Direct Object Reference,50,High,5.2,0.56,IoT Devices,Data theft   Remote code execution
2023,SQL Injection,38,Medium,7.6,0.97,Web Application,System takeover   Privilege escalation
2022,Insecure Deserialization,35,High,6.3,0.76,Cameras,System takeover   Privilege escalation
2021,Authentication Bypass,40,High,8.9,0.62,Switch,Sensitive data leak
2021,XML External Entity (XXE),49,Critical,7.5,0.91,IoT Devices,Session hijacking
2023,Privilege Escalation,7,Critical,4.9,0.51,Firmware,Detection delay   Long  term impact
2022,Directory Traversal,29,Medium,7.6,0.84,Switch,System takeover   Privilege escalation
2023,Information Disclosure,44,High,9.6,0.67,API,Data exposure
2023,Race Condition,49,Medium,7.3,0.71,Storage,Data theft   Remote code execution
2023,Path Traversal,9,Critical,7.9,0.96,Storage,Data exposure
2023,Directory Traversal,37,High,8.2,0.9,Router,Detection delay   Long  term impact
2022,Comm  Injection,39,Critical,7.7,0.56,API,Data theft   Remote code execution
2021,Insufficient Logging   Monitoring,20,Medium,8.9,0.53,Database,Remote code execution
2021,Remote File Inclusion,29,Critical,5.2,0.75,Router,Unauthorized access   System control
2021,Comm  Injection,33,Medium,9.5,0.66,Web Application,Unauthorized access   Data loss
2022,Buffer Overflow,5,High,7.6,0.84,Cameras,Data exposure
2023,Misconfiguration    Security Headers,31,Medium,8.1,0.84,Firmware,Data exposure
2021,Information Disclosure,1,High,5.4,0.71,Workstation,Sensitive data leak
2023,Authentication Bypass,12,Critical,6.8,0.66,Firmware,Data exposure
2022,Race Condition,41,Medium,7.0,0.97,Cameras,Session hijacking
2023,Race Condition,30,Medium,8.5,0.84,Router,Data exposure
2022,Privilege Escalation,10,Low,4.4,0.83,Router,Unauthorized access   Data loss
2023,SQL Injection,26,Low,9.3,0.69,IoT Devices,Detection delay   Long  term impact
2022,Insufficient Logging   Monitoring,19,High,4.7,0.6,IoT Devices,Detection delay   Long  term impact
2022,Cross  Site Request Forgery,3,Medium,4.8,0.83,Server,Data exposure
2022,Misconfiguration    Security Headers,46,Medium,5.1,0.96,Switch,Remote code execution
2021,Insecure Deserialization,9,Medium,5.4,0.58,Storage,Data theft   Remote code execution
2021,Insufficient Logging   Monitoring,31,Critical,6.0,0.78,Storage,System takeover   Privilege escalation
2021,Race Condition,1,Critical,9.2,0.56,Web Application,Sensitive data leak
2022,Insufficient Logging   Monitoring,48,High,7.0,0.59,Storage,System takeover   Privilege escalation
2023,Insecure Direct Object Reference,23,Low,7.9,0.8,Server,Sensitive data leak
2021,Insecure Direct Object Reference,13,Low,5.6,0.67,Firmware,Sensitive data leak
2022,Path Traversal,50,Critical,6.9,0.82,API,Unauthorized access   System control
2022,XML External Entity (XXE),7,Low,6.5,0.57,Server,Unauthorized access   System control
2023,Insecure Deserialization,21,Critical,7.0,0.8,Web Application,Privilege escalation   Denial    Service
2021,Insecure Deserialization,26,High,9.2,0.87,Database,Privilege escalation   Denial    Service
2021,Insufficient Logging   Monitoring,3,High,4.8,0.63,Web Application,Unauthorized access   System control
2022,Remote File Inclusion,46,Low,7.3,0.72,Server,Data theft   Remote code execution
2023,Information Disclosure,2,Critical,6.2,0.65,Cameras,Data theft   Remote code execution
2023,Race Condition,14,Low,8.7,0.59,Web Application,Remote code execution
2021,SQL Injection,19,High,7.3,0.86,Workstation,Unauthorized access   Data loss
2023,XML External Entity (XXE),30,High,9.0,0.67,Cameras,System takeover   Privilege escalation
2021,Server  Side Request Forgery,37,Low,9.8,0.51,Server,Privilege escalation   Denial    Service
2022,SQL Injection,5,Low,7.5,0.92,Database,Unauthorized access   Data loss
2023,Weak Cryptography,41,High,6.4,0.69,Firmware,Unauthorized access   System control
2021,Cross  Site Request Forgery,34,High,6.5,0.9,Web Application,Unauthorized access   System control
2021,Privilege Escalation,47,Low,5.5,0.68,Firmware,Sensitive data leak
2022,Improper Input Validation,10,Medium,7.9,0.72,Database,Unauthorized access   System control
2022,Privilege Escalation,34,Critical,7.3,0.69,IoT Devices,Sensitive data leak
2021,XML External Entity (XXE),43,Low,4.3,0.59,Cameras,Unauthorized access   Data loss
2022,Server  Side Request Forgery,37,Critical,9.4,0.72,Switch,Session hijacking
2021,XML External Entity (XXE),32,Medium,4.1,0.61,Web Application,Sensitive data leak
2021,Cross  Site Request Forgery,30,Medium,9.9,0.78,Workstation,Data theft   Remote code execution
2022,Race Condition,48,Medium,9.3,0.65,Cameras,Sensitive data leak
2021,Cross  Site Scripting,14,Low,5.0,0.58,Switch,Remote code execution
2023,Improper Input Validation,5,Medium,4.4,0.85,Storage,Unauthorized access   System control
2023,Insecure Direct Object Reference,34,Low,6.9,0.73,Web Application,Unauthorized access   System control
2022,Misconfiguration    Security Headers,10,High,9.8,0.72,Cameras,Detection delay   Long  term impact
2022,Information Disclosure,47,Low,5.7,0.86,Switch,Privilege escalation   Denial    Service
2023,Information Disclosure,25,High,8.9,0.52,Cameras,System takeover   Privilege escalation
2022,Information Disclosure,24,High,7.8,0.51,IoT Devices,Sensitive data leak
2021,XML External Entity (XXE),38,Medium,6.1,0.6,Router,Detection delay   Long  term impact
2023,Path Traversal,46,High,5.9,0.85,Server,Unauthorized access   Data loss
2021,Directory Traversal,47,High,8.3,0.92,Web Application,Detection delay   Long  term impact
2021,Insecure Deserialization,5,Medium,4.3,0.86,Web Application,Privilege escalation   Denial    Service
2021,Misconfiguration    Security Headers,17,Critical,9.9,0.95,Server,Data exposure
2021,Authentication Bypass,5,Critical,5.6,0.98,Database,Data exposure
2021,Insufficient Logging   Monitoring,16,Medium,6.9,0.58,Firmware,Privilege escalation   Denial    Service
2023,Comm  Injection,36,High,4.7,0.79,Web Application,Sensitive data leak
2023,Insecure Deserialization,1,Critical,7.7,0.86,Workstation,Data exposure
2022,Server  Side Request Forgery,22,Low,5.8,0.78,IoT Devices,Data exposure
2021,Privilege Escalation,47,Critical,8.6,0.63,Server,Session hijacking
2022,Insecure Direct Object Reference,26,Medium,5.1,0.97,Switch,Unauthorized access   Data loss
2022,Comm  Injection,9,Medium,6.3,0.66,Cameras,Session hijacking
2023,Comm  Injection,1,High,7.0,0.72,Storage,Session hijacking
2021,Cross  Site Request Forgery,31,Medium,9.2,0.89,Web Application,Session hijacking
2023,Path Traversal,2,Low,6.0,0.86,Web Application,Data exposure
2021,Cross  Site Scripting,7,Low,5.4,0.83,Server,Unauthorized access   Data loss
2022,Insecure Deserialization,15,High,6.4,0.58,Firmware,Privilege escalation   Denial    Service
2022,Buffer Overflow,14,Medium,7.7,0.51,Web Application,Data exposure
2022,Privilege Escalation,36,Low,6.8,0.74,Database,System takeover   Privilege escalation
2023,Improper Input Validation,45,Critical,8.9,0.69,Cameras,Data exposure
2022,Insecure Deserialization,33,High,6.6,0.95,Database,Remote code execution
2023,Directory Traversal,44,Low,8.3,0.77,Storage,Detection delay   Long  term impact
2021,Insecure Deserialization,47,Critical,9.9,0.78,Router,Session hijacking
2021,Buffer Overflow,42,Low,5.4,0.88,Storage,System takeover   Privilege escalation
2022,Improper Input Validation,31,Critical,9.9,0.97,Storage,Unauthorized access   Data loss
2022,Weak Cryptography,37,High,9.7,0.66,Workstation,Detection delay   Long  term impact
2022,XML External Entity (XXE),18,Low,5.0,0.94,Firmware,Unauthorized access   System control
2023,Comm  Injection,45,Critical,4.9,0.81,Database,Sensitive data leak
2021,Buffer Overflow,28,High,4.8,0.68,Web Application,Data exposure
2021,Directory Traversal,15,Critical,4.9,0.78,Web Application,Session hijacking
2022,Cross  Site Scripting,41,High,9.2,0.88,API,Unauthorized access   Data loss
2022,Remote File Inclusion,22,High,4.3,0.95,IoT Devices,Detection delay   Long  term impact
2022,Insufficient Logging   Monitoring,44,Medium,8.4,0.55,Web Application,Unauthorized access   Data loss
2021,Misconfiguration    Security Headers,49,High,9.1,0.73,Cameras,Sensitive data leak
2021,Buffer Overflow,11,Critical,4.2,0.89,Firmware,Data theft   Remote code execution
2023,Insufficient Logging   Monitoring,12,Critical,9.0,0.82,Switch,Session hijacking
2021,Server  Side Request Forgery,20,Critical,9.5,0.98,Firmware,Unauthorized access   System control
2022,Insecure Direct Object Reference,45,Low,5.9,0.72,IoT Devices,Unauthorized access   System control
2022,Improper Input Validation,14,Medium,4.5,0.74,Firmware,Data exposure
2023,Server  Side Request Forgery,11,Medium,5.0,0.6,Web Application,Unauthorized access   System control
2022,Authentication Bypass,26,Medium,5.1,0.62,Web Application,Unauthorized access   Data loss
2023,Improper Input Validation,17,Low,8.6,0.92,IoT Devices,Remote code execution
2023,Insecure Deserialization,7,Low,9.8,0.83,Database,Data exposure
2022,Remote File Inclusion,36,Critical,9.6,0.98,Web Application,Data theft   Remote code execution
2022,Buffer Overflow,7,Low,6.5,0.74,IoT Devices,Sensitive data leak
2023,Improper Input Validation,48,High,6.5,0.93,Switch,Session hijacking
2023,Remote File Inclusion,11,Critical,9.4,0.62,Workstation,Detection delay   Long  term impact
2021,Path Traversal,5,Low,4.4,0.57,Cameras,Data exposure
2023,Remote File Inclusion,50,Medium,6.9,0.62,Cameras,Privilege escalation   Denial    Service
2021,Misconfiguration    Security Headers,9,High,8.0,0.94,IoT Devices,Sensitive data leak
2022,Weak Cryptography,21,Medium,9.8,0.7,Router,Data theft   Remote code execution
2022,Cross  Site Scripting,44,Low,9.0,0.88,Web Application,Data exposure
2021,Insecure Deserialization,48,Low,4.4,0.89,Switch,Data exposure
2022,Weak Cryptography,22,Low,4.4,0.83,Server,Unauthorized access   Data loss
2021,Insufficient Logging   Monitoring,13,Critical,7.7,0.57,API,Unauthorized access   System control
2021,Comm  Injection,24,High,8.4,0.65,Storage,System takeover   Privilege escalation
2021,Buffer Overflow,35,Critical,6.3,0.64,API,Privilege escalation   Denial    Service
2022,Insufficient Logging   Monitoring,14,Critical,7.9,0.79,Workstation,Data theft   Remote code execution
2021,Insecure Direct Object Reference,2,Medium,9.9,0.8,Workstation,Session hijacking
2021,Cross  Site Request Forgery,38,Critical,9.0,0.7,Cameras,Sensitive data leak
2022,SQL Injection,5,Medium,8.1,0.96,Database,Privilege escalation   Denial    Service
2021,Server  Side Request Forgery,21,Critical,8.7,0.53,Firmware,Data exposure
2022,Cross  Site Request Forgery,2,Critical,9.6,0.72,API,Data exposure
2021,Insufficient Logging   Monitoring,32,Critical,8.2,0.97,Firmware,Sensitive data leak
2022,Race Condition,44,Critical,4.3,0.79,Server,Remote code execution
2021,Remote File Inclusion,8,Low,6.5,0.63,Server,Data theft   Remote code execution
2021,Race Condition,26,High,6.5,0.76,Web Application,Unauthorized access   Data loss
2021,Remote File Inclusion,6,Low,9.2,0.91,Cameras,Detection delay   Long  term impact
2021,Cross  Site Request Forgery,17,High,8.0,0.6,IoT Devices,Privilege escalation   Denial    Service
2022,Directory Traversal,2,Low,7.7,0.74,Database,Sensitive data leak
2023,Insecure Deserialization,20,Critical,5.6,0.6,Storage,Detection delay   Long  term impact
2023,Insufficient Logging   Monitoring,33,Medium,9.3,0.81,Storage,Detection delay   Long  term impact
2022,Authentication Bypass,50,High,5.7,0.7,Cameras,System takeover   Privilege escalation
2021,Misconfiguration    Security Headers,16,High,4.5,0.83,Web Application,Privilege escalation   Denial    Service
2023,Server  Side Request Forgery,14,Critical,6.8,0.87,Cameras,Unauthorized access   System control
2021,Insecure Deserialization,36,Low,8.6,0.77,Web Application,Sensitive data leak
2023,Directory Traversal,19,Critical,7.3,0.56,Server,Remote code execution
2021,Misconfiguration    Security Headers,48,Medium,8.9,0.55,Web Application,Sensitive data leak
2022,Cross  Site Request Forgery,17,High,7.6,0.84,Server,Data theft   Remote code execution
2022,Comm  Injection,5,Medium,9.5,0.64,Firmware,Detection delay   Long  term impact
2021,Privilege Escalation,12,Medium,7.6,0.59,Cameras,Session hijacking
2021,Improper Input Validation,15,Low,5.8,0.5,Router,Data exposure
2023,XML External Entity (XXE),48,Critical,9.6,0.7,Firmware,Unauthorized access   Data loss
2022,Server  Side Request Forgery,8,Low,4.2,0.5,Database,Unauthorized access   System control
2022,Server  Side Request Forgery,10,Medium,6.1,0.63,Router,Privilege escalation   Denial    Service
2021,Remote File Inclusion,37,High,6.9,0.99,API,Data theft   Remote code execution
2022,Cross  Site Scripting,24,Medium,7.4,0.79,Switch,Detection delay   Long  term impact
2023,Insecure Direct Object Reference,35,High,8.6,0.63,Storage,Data exposure
2023,Misconfiguration    Security Headers,11,Critical,8.8,0.83,Database,Unauthorized access   Data loss
2022,Insufficient Logging   Monitoring,40,Medium,6.9,0.97,Cameras,Session hijacking
2021,SQL Injection,20,Low,9.0,0.53,Router,Unauthorized access   Data loss
2022,Comm  Injection,7,Medium,9.6,0.96,Router,Remote code execution
